lesion,cluster_id,sign,ch_lo,ch_hi,depth_lo,depth_hi,f_lo,f_hi,n_bins,mass,p_cluster,median_log2fc,band_hint
L5_L23,15,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,41.50,43.33,4,-14.267,0.0040,-1.3806,low_gamma
L5_L23,16,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,87.28,88.50,3,-12.754,0.0070,-1.3682,high_gamma
L5_L23,17,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,95.21,99.49,8,-32.281,0.0010,-1.1935,high_gamma
L5_L23,18,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,41.50,43.33,4,-14.014,0.0050,-1.2570,low_gamma
L5_L6,1,-1,Ch1-Ch0,Ch1-Ch0,-0.865,-0.865,9.77,26.25,28,-148.949,0.0010,-1.5294,multi
L5_L6,2,-1,Ch1-Ch0,Ch1-Ch0,-0.865,-0.865,67.75,68.97,3,-13.702,0.0070,-1.4348,high_gamma
L5_L6,3,-1,Ch1-Ch0,Ch1-Ch0,-0.865,-0.865,76.29,79.35,6,-21.129,0.0020,-1.2008,high_gamma
L5_L6,4,-1,Ch1-Ch0,Ch1-Ch0,-0.865,-0.865,84.23,85.45,3,-10.151,0.0330,-1.3133,high_gamma
L5_L6,5,-1,Ch1-Ch0,Ch1-Ch0,-0.865,-0.865,91.55,92.77,3,-9.849,0.0400,-1.1593,high_gamma
L5_L6,6,-1,Ch1-Ch0,Ch1-Ch0,-0.865,-0.865,94.60,95.21,2,-10.331,0.0310,-1.5373,high_gamma
L5_L6,7,-1,Ch2-Ch1,Ch2-Ch1,-0.715,-0.715,9.77,26.25,28,-155.696,0.0010,-1.5679,multi
L5_L6,8,-1,Ch2-Ch1,Ch2-Ch1,-0.715,-0.715,61.65,62.87,3,-11.982,0.0120,-1.0247,high_gamma
L5_L6,9,-1,Ch2-Ch1,Ch2-Ch1,-0.715,-0.715,67.75,68.97,3,-16.087,0.0050,-1.6325,high_gamma
L5_L6,10,-1,Ch2-Ch1,Ch2-Ch1,-0.715,-0.715,77.51,79.96,5,-18.515,0.0030,-1.3858,high_gamma
L5_L6,11,-1,Ch2-Ch1,Ch2-Ch1,-0.715,-0.715,81.79,83.01,3,-11.950,0.0120,-1.0876,high_gamma
L5_L6,12,-1,Ch2-Ch1,Ch2-Ch1,-0.715,-0.715,84.84,86.06,3,-11.165,0.0190,-1.6227,high_gamma
L5_L6,13,-1,Ch2-Ch1,Ch2-Ch1,-0.715,-0.715,91.55,92.77,3,-12.301,0.0100,-1.5815,high_gamma
L5_L6,14,-1,Ch2-Ch1,Ch2-Ch1,-0.715,-0.715,93.99,95.21,3,-13.047,0.0080,-1.1601,high_gamma
L5_L6,15,-1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,9.77,15.87,11,-53.645,0.0010,-1.6046,multi
L5_L6,16,-1,Ch6-Ch5,Ch6-Ch5,-0.115,-0.115,10.38,12.82,5,-17.312,0.0030,-1.5884,alpha
L5_L6,17,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,10.99,13.43,5,-17.133,0.0030,-1.4009,multi
L5_L6,18,-1,Ch9-Ch8,Ch9-Ch8,+0.330,+0.330,10.38,12.82,5,-27.454,0.0020,-2.2094,alpha
L5_L6,19,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,10.38,11.60,3,-11.469,0.0150,-1.0903,alpha
L5_L6,20,-1,Ch10-Ch9,Ch10-Ch9,+0.480,+0.480,15.26,16.48,3,-10.499,0.0270,-1.2606,beta
L5_L6,21,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,10.38,12.21,4,-13.935,0.0060,-1.0140,alpha
L5_L6,22,-1,Ch11-Ch10,Ch11-Ch10,+0.630,+0.630,15.26,16.48,3,-10.676,0.0260,-1.3187,beta
L5_L6,23,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,10.99,12.82,4,-15.887,0.0050,-1.2186,alpha
L5_L6,24,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,10.38,12.21,4,-16.709,0.0050,-1.4338,alpha
L5_L6,25,-1,Ch13-Ch12,Ch13-Ch12,+0.930,+0.930,15.26,16.48,3,-11.994,0.0120,-1.7046,beta
L5_L6,26,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,10.38,12.21,4,-16.923,0.0040,-1.4652,alpha
L5_L6,27,-1,Ch14-Ch13,Ch14-Ch13,+1.080,+1.080,15.26,16.48,3,-12.167,0.0120,-1.7685,beta
L5_L6,28,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,10.38,11.60,3,-12.678,0.0090,-1.2318,alpha
L5_L6,29,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,15.26,16.48,3,-10.720,0.0260,-1.4378,beta
L5_L6,30,-1,Ch15-Ch14,Ch15-Ch14,+1.230,+1.230,26.25,28.08,4,-12.701,0.0090,-1.0955,beta
L6_L4AB,1,-1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,11.60,12.82,3,-10.609,0.0160,-0.9975,alpha
L6_L4AB,2,-1,Ch8-Ch7,Ch8-Ch7,+0.180,+0.180,4.27,5.49,3,-15.731,0.0010,-2.1050,theta
L6_L4AB,3,-1,Ch12-Ch11,Ch12-Ch11,+0.780,+0.780,4.27,5.49,3,-13.555,0.0030,-1.4818,theta
L6_L4C,1,-1,Ch3-Ch2,Ch3-Ch2,-0.565,-0.565,9.77,12.82,6,-24.613,0.0080,-1.5220,alpha
L6_L4C,2,-1,Ch4-Ch3,Ch4-Ch3,-0.415,-0.415,3.66,7.93,8,-43.749,0.0050,-1.5147,multi
L6_L4C,3,-1,Ch5-Ch4,Ch5-Ch4,-0.265,-0.265,3.05,10.38,13,-101.194,0.0030,-2.4785,multi
L6_L4C,4,-1,Ch5-Ch4,Ch5-Ch4,-0.265,-0.265,11.60,13.43,4,-15.079,0.0140,-1.4309,multi
L6_L4C,5,-1,Ch5-Ch4,Ch5-Ch4,-0.265,-0.265,15.26,23.80,15,-66.911,0.0030,-1.6154,beta
L6_L4C,6,-1,Ch5-Ch4,Ch5-Ch4,-0.265,-0.265,68.97,70.80,4,-16.306,0.0120,-1.4023,high_gamma
L6_L4C,7,-1,Ch5-Ch4,Ch5-Ch4,-0.265,-0.265,73.24,89.11,27,-131.038,0.0020,-1.6259,high_gamma
L6_L4C,8,-1,Ch5-Ch4,Ch5-Ch4,-0.265,-0.265,93.99,98.88,9,-43.834,0.0050,-1.5394,high_gamma
L6_L4C,9,-1,Ch6-Ch5,Ch6-Ch5,-0.115,-0.115,3.05,7.93,9,-67.898,0.0030,-2.6258,multi
L6_L4C,10,-1,Ch6-Ch5,Ch6-Ch5,-0.115,-0.115,9.16,21.97,22,-105.431,0.0030,-1.9268,multi
L6_L4C,11,-1,Ch6-Ch5,Ch6-Ch5,-0.115,-0.115,23.19,25.02,4,-14.562,0.0150,-1.4367,beta
L6_L4C,12,-1,Ch6-Ch5,Ch6-Ch5,-0.115,-0.115,68.97,70.80,4,-14.998,0.0140,-1.4460,high_gamma
L6_L4C,13,-1,Ch6-Ch5,Ch6-Ch5,-0.115,-0.115,72.63,85.45,22,-94.123,0.0030,-1.3721,high_gamma
